Week,Total Quotes,Rated Quotes,Booked,% Rated
W01Y25,81678,12720,115,15.57
W02Y25,133979,17746,131,13.25
W03Y25,153164,18163,185,11.86
W04Y25,125533,16027,143,12.77
W05Y25,126260,13950,135,11.05
W06Y25,145939,19942,174,13.66
W07Y25,161476,21294,159,13.19
W08Y25,231401,36449,147,15.75
W09Y25,180044,15827,84,8.79
W10Y25,261025,41843,174,16.03
W11Y25,241903,39731,184,16.42
W12Y25,209031,36083,180,17.26
W13Y25,196106,38270,181,19.51
W14Y25,202186,35526,159,17.57
W15Y25,208399,36034,139,17.29
W16Y25,202605,41510,169,20.49
W17Y25,198333,42540,212,21.45
W18Y25,189139,35866,211,18.96
W19Y25,213379,44207,269,20.72
W20Y25,210466,44145,318,20.97
W21Y25,202215,43123,314,21.33
W22Y25,190292,46869,339,24.63
W23Y25,238758,59076,311,24.74
W24Y25,279886,67335,337,24.06
W25Y25,249550,57789,365,23.16
W26Y25,250447,63737,332,25.45
W27Y25,156010,35547,251,22.79
W28Y25,212454,85215,583,40.11
W29Y25,223268,92366,558,41.37
W30Y25,216210,88117,586,40.76
W31Y25,232819,93762,690,40.27
W32Y25,324387,120681,818,37.2
W33Y25,270869,106711,912,39.4
W34Y25,232029,90491,812,39.0
W35Y25,258948,99901,789,38.58
W36Y25,229693,94078,699,40.96
W37Y25,284383,123088,859,43.28
W38Y25,251141,109849,840,43.74
W39Y25,266245,115502,764,43.38
W40Y25,227730,98597,782,43.3
W41Y25,254167,115158,803,45.31
W42Y25,255915,116391,782,45.48
W43Y25,253784,112696,794,44.41
W44Y25,279742,122378,721,43.75
W45Y25,290488,136598,681,47.02
W46Y25,337148,175717,792,52.12
W47Y25,316729,137286,804,43.34
W48Y25,233717,118386,593,50.65
W49Y25,348976,163128,830,46.74
W50Y25,294499,136098,776,46.21
W51Y25,301057,143275,676,47.59
W52Y25,171869,86362,326,50.25
