Warp ID,Name,Client Name,Warehouse Type,Require Appointment,Address,PU Access Code,PU Instructions,PU Note,DO Access Code,DO Instructions,DO Note,Primary Contact Name,Primary Contact Phone,Primary Contact Email,Secondary Contact Name,Secondary Contact Phone,Secondary Contact Email,Organization,Is Warp Crossdock Location,Required Check In,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Can load/un-load a cargo van?
87410,WTCH-MSP-1,"Back to the Roots, Inc",crossdock,No,"2811 Beverly Dr Suite 100, Eagan, MN, 55121",N/A,The driver needs to check in at the operations door and will be assigned a door from there,N/A,N/A,N/A,N/A,Jacob Fladland,7634394934,jfladland@alexanders.net,Dave Berndt,6512020229,dberndt@alexanders.net,N/A,Yes,Yes,Open 08:00-16:30,Open 08:00-16:30,Open 08:00-16:30,Open 08:00-16:30,Open 08:00-16:30,Closed,Closed,N/A
100980,WTCH-CMH-3,"Warp Cross Dock - Vernon, CA",crossdock,No,"1700 Georgesville Road, Columbus, OH, 43228",N/A,N/A,N/A,N/A,"After entering through entrance gate, have driver check in with warehouse guys through man door to get them In a dock door to be unloaded/loaded. We will provide gate entry codes daily or weekly -",N/A,AJ Campbell,4048617071,acampbell@jbstrucking.com,Chris Terry,6143700014,cterry@jbstrucking.com,N/A,Yes,No,Open 07:00-16:00,Open 07:00-16:00,Open 07:00-16:00,Open 07:00-16:00,Open 07:00-16:00,Closed,Closed,N/A
96791,WTCH-PNS-1,"Warp Cross Dock - Vernon, CA",crossdock,No,"6020 Enterprise Drive, Pensacola, FL, 32505",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Closed,N/A
96436,WTCH-BWI-2,"Warp Cross Dock - Vernon, CA",crossdock,No,"1321 Mercedes Drive, suite n, Hanover, MD, 21076",N/A,"Pick-up & Delivery Instructions:
 Please email us in advance with the PO number, trucking company name, trailer number, and driver’s phone number.
 All drivers must check in with warehouse staff upon arrival so we can verify identity and assign a dock door.
 A Bill of Lading (BOL) is required for all inbound and outbound shipments.
 We request at least one hour of advance notice before the driver arrives.
 Our loading docks are located at the rear of the facility. If drivers have difficulty locating us, feel free to have them call either contact number listed above.
 For safety, we ask that drivers remain in their trucks while we load or unload.",N/A,N/A,"Pick-up & Delivery Instructions:
 Please email us in advance with the PO number, trucking company name, trailer number, and driver’s phone number.
 All drivers must check in with warehouse staff upon arrival so we can verify identity and assign a dock door.
 A Bill of Lading (BOL) is required for all inbound and outbound shipments.
 We request at least one hour of advance notice before the driver arrives.
 Our loading docks are located at the rear of the facility. If drivers have difficulty locating us, feel free to have them call either contact number listed above.
 For safety, we ask that drivers remain in their trucks while we load or unload.",N/A,Antonio Rea,4433128036,info@cdscrossdock.com,Jose Llerena,4434106342,josellerena@cdscrossdock.com,N/A,Yes,No,Open 07:00-16:30,Open 07:00-16:30,Open 07:00-16:30,Open 07:00-16:30,Open 07:00-16:30,Closed,Closed,N/A
93989,WTCH-OAK-2,"Warp Cross Dock - Vernon, CA",crossdock,No,"32001 Dowe Avenue, Union City, CA, 94587",N/A,"Say you're picking up return crates for WARP when you arrive, PLEASE DO NO SHOW UP BEFORE PICKUP WINDOW",N/A,N/A,Say you're picking up for WARP when you arrive. Won't be able to unload before delivery window,N/A,Berenice Ayala,5106144183,berenice.ayala@goarmstrong.com,Jason Bravo,5106144183,jason.bravo@goarmstrong.com,N/A,No,No,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Closed,Closed,N/A
91318,WTCH-OKC-2,"Warp Cross Dock - Vernon, CA",crossdock,No,"1700 South Eastern Avenue, Oklahoma City, OK, 73129",N/A,N/A,N/A,N/A,N/A,N/A,Melanie Killman,4052550581,Melaniek@aceatlas.com,N/A,N/A,N/A,N/A,No,No,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Closed,Closed,N/A
90382,ACCL-MFE,"Warp Cross Dock - Vernon, CA",crossdock,No,"901 East Military Highway, Pharr, TX, 78577",N/A,Must give them the ACCL Control#,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,Operations,N/A,MFE@AcceleratedUSA.com,N/A,N/A,N/A,N/A,Yes,No,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Closed,N/A
90381,ACCL-LRD,"Warp Cross Dock - Vernon, CA",crossdock,No,"14109 Atlanta Drive, Laredo, TX, 78045",N/A,Must give them the ACCL Control#,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,Operations,N/A,LRD@AcceleratedUSA.com,N/A,N/A,N/A,N/A,Yes,No,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Closed,N/A
89919,ACCL-TYS,"Warp Cross Dock - Vernon, CA",crossdock,No,"3267 Northpark Boulevard, Alcoa, TN, 37701",N/A,Must ask for the ACCL Control#,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Closed,N/A
89918,ACCL-MKE,"Warp Cross Dock - Vernon, CA",crossdock,No,"5975 South Howell Avenue, Milwaukee, WI, 53207",N/A,Must ask for the ACCL Control#,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,Cut off for linehaul 13:30 PM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Closed,Closed,N/A
