Dock Name,Address
WTCH-LAX-9,"1305 Wholesale Street, Los Angeles, CA, 90021"
WTCH-PHX-1,"10206 West Van Buren Street, Tolleson, AZ, 85353"
WTCH-EWR-1,"4E Easy Street, Bound Brook, NJ, 08805"
WTCH-MIA-2,"20600 Northwest 47th Avenue, Miami Gardens, FL, 33055"
WTCH-MCO-2,"603 West Landstreet Road, Orlando, FL, 32824"
WTCH-TPA-2,"1841 Massaro Boulevard, Tampa, FL, 33619"
WTCH-ORD-1,"720 East Green Street, Bensenville, IL, 60106"
WTCH-BOS-1,"40 Robbie Road, Avon, MA, 02322"
WTCH-LAS-2,"7215 Bermuda Road, Las Vegas, NV, 89119"
WTCH-PDX-1,"5505 Southeast Mallard Way, Milwaukie, OR, 97222"
WTCH-DFW-4,"3100 Roy Orr Boulevard, suite 100, Grand Prairie, TX, 75050"
WTCH-IAH-2,"1297 North Post Oak Road, suite 100, Houston, TX, 77055"
WTCH-SAT-2,"4520 Tejasco, San Antonio, TX, 78218"
WTCH-SJC-2,"2071 Ringwood Avenue, suite d, San Jose, CA, 95131"
WTCH-SEA-1,"2302 West Valley Highway North, building b 500, Auburn, WA, 98001"
WTCH-SLC-3,"2275 South 900 West, South Salt Lake, UT, 84119"
WTCH-SAN-2,"12455 Kerran Street, 300, Poway, CA, 92064"
WTCH-AUS-2,"2700 Louis Henna Boulevard, ste 100, Round Rock, TX, 78664"
WTCH-DEN-2,"16265 East 33rd Drive, suite 10, Aurora, CO, 80011"
WTCH-ATL-3,"4441 Sentry Dr, Tucker, GA 30084"
WTCH-CLT-1,"10240 Western Ridge Road, Charlotte, NC, 28273"
WTCH-DCA-1,"9610 Gunston Cove Road, suite b1, Lorton, VA, 22079"
WTCH-PHL-1,"113 Darby Commons Court, Folcroft, PA, 19032"
WTCH-IND-1,"5150 Decatur Boulevard, suite d, Indianapolis, IN, 46241"
WTCH-DTW-1,"13038 Pauline Drive, Shelby Township, MI, 48315"
WTCH-MSP-1,"3025 Lunar Lane, Eagan, MN, 55121"
WTCH-MCI-1,"3177 Mercier Street, Kansas City, MO, 64111"
WTCH-CHM-1,"1299 Bolton Field Street, Columbus, OH, 43228"
WTCH-RDU-1,"3252 South Miami Boulevard, Durham, NC, 27703"
WTCH-BDL-1,"110 Murphy Road, Hartford, CT, 06114"
WTCH-CMH-3,"1700 Georgesville Road, Columbus, OH, 43228"
