zip_code,centroid_x,centroid_y
35592,1101520.4139542612,-1172499.138158206
35616,1094690.7501953344,-1061972.3971236858
35621,1217950.9858227314,-1087010.4095445352
35651,1147526.1351187949,-1085169.080260155
36010,1344146.9858822625,-1367826.241376898
36036,1306897.179873316,-1339410.4124857073
36064,1309130.2147242627,-1302510.1109424976
36080,1283769.2983645028,-1261259.357288558
36110,1290644.9784007308,-1288889.9000287259
36250,1302620.5207825017,-1138882.458915742
36276,1342409.5993815558,-1204077.8787523191
36322,1358390.7634189688,-1411675.3542061269
36460,1205975.890805672,-1405473.1946086178
36545,1153152.2503858777,-1417568.9732953126
36579,1166537.2532482,-1457414.3488766789
36603,1146974.9543893577,-1508176.067981337
36782,1141213.0357597698,-1348904.822297721
36916,1127251.7217092894,-1337353.1084219124
36741,1225289.2845688707,-1347107.8591241012
35007,1229060.023710536,-1212437.6404899245
35010,1312652.13178417,-1232981.7815620038
35020,1211375.4534432339,-1194147.2495619466
35043,1239883.5213063268,-1200429.668543724
35073,1205215.1130971867,-1167176.939612056
33412,1968155.2963169287,-1791464.6342754012
33435,1988900.5644111678,-1818348.8899954464
33440,1892563.8941577638,-1838546.1305681714
33442,1985079.174820062,-1843657.6360732212
33471,1870315.0110930237,-1801657.88076441
33514,1759088.6005645746,-1628205.3894338727
33559,1728892.3162448148,-1690927.0377058024
33578,1740355.980710239,-1721948.6849108394
33713,1709741.998885549,-1736432.5008384464
33777,1700558.4743913137,-1731107.3211873304
33782,1705403.6064171253,-1729329.6353146897
33890,1812499.5936628988,-1752598.7305984395
33950,1787691.2742731462,-1819079.1685315701
34113,1833712.2674688154,-1905936.8397366987
34203,1732478.563701342,-1770744.363261049
34266,1805742.5363455582,-1783024.2307416173
34288,1778328.2658838427,-1805153.466767159
34638,1716339.7621027664,-1681951.937669927
34787,1798048.7296881136,-1639628.514803665
33550,1742173.1209673495,-1708307.6336175639
99516,-2450976.170194207,2641897.3525352594
99568,-2540713.9239773494,2593281.3133671004
99615,-2868160.035097318,2475840.9795131306
33433,1982946.407178018,-1839967.6660113723
33463,1980803.5198389993,-1812377.6617304988
33493,1925199.2438829553,-1838618.195879621
33513,1742307.4981718427,-1630517.503351079
33534,1738446.9416369754,-1726762.2112153084
33576,1734791.274140193,-1670888.7591533419
33756,1695808.1814838478,-1721740.7372058108
33760,1704105.5447810073,-1724442.8015409918
33827,1821980.8239795533,-1710048.4197607378
33860,1775639.5981891204,-1720947.608604206
33912,1816051.8527120382,-1855938.5998924128
33931,1809084.6563686589,-1867751.6665289185
34103,1824442.4564563748,-1892491.5421129572
34135,1828135.5555976892,-1871815.9858311182
34285,1745883.8693267049,-1807614.1486522628
34473,1734289.6130200112,-1594172.5049248876
34614,1709877.9620060513,-1639742.7518082184
34950,1944056.3918459334,-1724742.5252341041
33022,1991143.2217802354,-1875787.099623386
32024,1662743.0035873826,-1487567.1087447703
32025,1676796.6016822434,-1480913.6858452782
32040,1705900.0243869375,-1459660.3637265728
32044,1720269.1520589355,-1501180.2131633968
32062,1638118.8222461238,-1486506.327019677
99622,-3031415.1569237765,3055834.595943025
99670,-2925048.8709267825,2707441.2339965454
99682,-2499542.512410265,2699537.368054007
99747,-1560198.8842435242,3262496.8091676035
99776,-2035775.0265384906,2652122.07183844
99929,-1910183.783291444,1668528.420886499
99506,-2439446.796567544,2662375.973785903
99563,-2938938.2591171684,3266489.108079033
99574,-2355361.324177985,2510664.4944605413
99575,-2690798.436797855,3003128.3982113106
99639,-2599311.67212955,2605689.398920959
99644,-2804637.0244625625,2466541.8279917017
99648,-3239977.5393253346,2577796.9314737003
99661,-3354382.3635977185,2592184.0542395604
99723,-1806011.7498748365,3667520.803262477
99730,-1948311.0364458808,2918214.5099714994
99768,-2240494.590838206,3127885.6219261773
99769,-2855723.057968319,3615208.332910269
99826,-2003829.0412040453,1971730.4058816517
99515,-2454435.8178976765,2651525.3574953997
99573,-2259810.8148878505,2566484.719542452
99649,-3036105.3734072414,2630669.421253885
99737,-2080911.6127523019,2722617.3135874085
99755,-2218199.188749104,2841212.7782055996
32073,1754128.9141574549,-1458371.7628851938
32082,1790693.8658139817,-1455560.4911715065
32084,1794882.9510691774,-1478185.6192049282
32095,1788426.3432569017,-1467979.8289179336
32119,1842064.2902875505,-1553273.2070858574
32169,1860482.6291206782,-1569543.721379076
32234,1727837.802054552,-1459457.8543310852
32258,1772745.2279936282,-1457603.9496925029
32324,1456996.2851586516,-1461917.9082076042
32356,1602919.7090772067,-1524955.5212434356
32407,1369250.1476487836,-1528208.9635860806
32428,1383732.0559387926,-1479002.6157189857
32514,1228139.9511072307,-1513430.0018499997
32564,1266697.0722050294,-1485692.4637311217
32609,1711057.1807752333,-1513351.7693836447
32702,1787250.9927342953,-1578215.8825236165
32757,1791425.4792043017,-1607519.2198348544
32809,1821889.3824395654,-1636713.056374744
32909,1903226.7504462218,-1681846.519010368
32958,1921277.6709745314,-1690279.7504902007
32968,1923671.4547730077,-1713032.7405024436
33032,1976315.3525580121,-1933932.86612181
33147,1985106.557308558,-1895596.7766830353
33301,1990614.3466959372,-1863757.137421646
99820,-1976822.3792725713,1834868.966504374
99919,-1971362.499724043,1607879.6117360857
99925,-2001816.8326513434,1610174.095123551
99725,-2097130.2728699704,2916608.7744708005
99589,-3044460.515649752,2944328.1902206023
99630,-3077704.058474545,3223069.4070826666
99638,-3853604.472097905,2822052.244588091
99667,-2469911.743072558,2779520.525971558
99722,-1763315.3865017493,3132698.8876216533
99742,-2873590.6319856443,3670439.352192543
99772,-2522200.7464781944,3579577.8393760757
99788,-1816117.1893977218,2958494.8105773916
99827,-1971119.9123097528,2034652.7771096108
99501,-2445146.5080634947,2659368.5037702313
99540,-2443388.105555351,2624467.3941736054
99548,-3197014.397473657,2586488.51152037
99565,-3182644.52557744,2579184.8631020193
99571,-3425727.319408538,2684470.0161895207
99611,-2522047.333221174,2653748.530764656
99645,-2378216.9133648137,2661510.423294143
99656,-2666208.9096527817,2978954.494018218
99671,-2669994.2398784817,3279966.4387821807
99681,-3027287.1781271063,3192363.454468184
99703,-2085068.9002936569,2902892.880378622
33438,1931088.1396297268,-1783106.077823332
33469,1975030.3153019145,-1769913.3433219765
33538,1737895.079890284,-1611303.873106332
33610,1734765.69141972,-1707840.522330057
33614,1722414.9951878227,-1709364.3193229376
33635,1711157.8775587888,-1709632.9778910347
33710,1704566.1139124592,-1737366.668437882
33839,1795795.6738370976,-1697561.4485704587
33909,1798898.9410751932,-1838433.276892149
33946,1766441.458934138,-1830214.3946893758
34120,1843875.7099047666,-1874708.7700456576
34201,1737166.0559157748,-1774330.0674241488
34292,1755595.932109039,-1804312.8882296581
34446,1706981.4982068473,-1628742.5992714877
34498,1680645.7653378972,-1602053.0069062233
34698,1694048.6777289289,-1711988.849013106
34746,1820654.1954779655,-1661962.8984191846
34972,1887193.053115218,-1733508.938237077
32081,1785208.475603862,-1456828.2112359088
32087,1697650.9097633255,-1447490.8108160284
32096,1658314.3156698416,-1448064.3736950143
32131,1780243.1020302675,-1508197.6020183668
32148,1751976.0260776884,-1523041.5498983923
32222,1744798.104217368,-1454847.4704933807
32060,1628463.7355334861,-1472320.204575769
32066,1616103.056819367,-1500891.9474780292
32080,1805676.7438236417,-1486708.4351563812
32092,1779552.8117804655,-1479956.0912572516
32094,1650879.7698263472,-1476571.6728033016
32205,1753133.6738281606,-1443273.4565472782
32331,1570278.9518486434,-1463123.2877279005
32430,1419761.802260148,-1495182.8082010695
32565,1230794.2709892928,-1472735.6027548076
32656,1740839.257651174,-1500008.946523039
32683,1673457.0347122655,-1573936.9371292442
32764,1844265.0263590307,-1589203.1162722057
32831,1844406.3484891756,-1630465.3866001978
32926,1877723.7549162384,-1632517.27479368
33021,1986705.5624993353,-1875808.3837501584
33070,1973571.208258641,-1993651.8436107112
33162,1989483.336042803,-1885834.756266252
33314,1982208.9630864821,-1871699.0616264422
33470,1952517.7546303275,-1797601.817217239
33527,1751269.6472446322,-1706850.0254795793
33584,1743363.4747385506,-1705030.2708701824
33634,1718495.9749429903,-1709988.504791503
33705,1714309.949065957,-1741638.3650540423
33850,1795124.8539844968,-1681429.0094814321
32328,1463229.9445227736,-1558221.7578594598
32333,1493653.7682793573,-1460843.4516015353
32343,1489682.2016685675,-1475256.096334772
32456,1420074.2061276396,-1562385.2857754435
32459,1329419.4959558137,-1516539.382946419
32566,1261887.611198657,-1520271.140583983
32618,1692232.4187692155,-1542699.5391470313
32725,1826330.6983168582,-1588099.1125188363
32765,1835469.8193179348,-1610592.2025197332
32778,1782707.559984118,-1609847.894558329
32953,1887753.989185132,-1622802.5120856229
33142,1984363.561980391,-1900786.671972082
33187,1957757.0583519596,-1935965.8634148918
33305,1990374.4559690054,-1860127.9908959817
33316,1991670.698951538,-1865742.4067793107
33327,1962136.2089943155,-1856388.8397876795
33415,1979702.837177616,-1805276.6616017784
33461,1984134.859828328,-1808853.7279691035
33572,1737089.067829993,-1733427.6248285102
33755,1696175.3848124514,-1717668.0504115187
33770,1695237.1845672578,-1725173.9812543648
33771,1699789.9224366858,-1725262.6297603778
33852,1845949.8243357046,-1767601.4035237625
33952,1780967.7154624918,-1812139.2813527181
33867,1852928.71790592,-1706906.851913784
34102,1826055.9297044454,-1898360.1731247173
34110,1824362.2374747077,-1880842.1051863153
34239,1733571.9994474966,-1785419.3852328646
34453,1722216.3247541583,-1609374.6925818222
34669,1705432.7426897525,-1673199.513191336
34695,1704584.0118656717,-1713155.401573886
34739,1859224.050732677,-1689677.58247633
34761,1805231.1277455736,-1627136.1399801606
32046,1726845.4130944863,-1403616.280350754
32053,1613433.0346392314,-1442719.261919787
32055,1668657.6556147388,-1464764.5260132435
32061,1682477.0235269328,-1483087.499248636
32112,1786336.9813880164,-1535356.0014542055
32137,1814844.4035843445,-1511519.794026672
32190,1794470.7567758097,-1544205.934697282
32218,1754421.5800138947,-1422131.4749288855
32348,1585180.7022873054,-1518043.03262721
32427,1361193.5114078836,-1471798.2020862862
32505,1225543.7089105663,-1522352.9533109153
32563,1248213.0151321343,-1526541.118421741
32583,1250688.0924770182,-1502337.1126950807
32680,1638228.533465391,-1549054.8685425662
33955,1796339.6279097453,-1827112.2323005279
34112,1832152.0064818105,-1898982.6045651908
34211,1745127.375988844,-1767449.8922064123
34235,1736900.8906461338,-1778450.543598507
34449,1684654.6278487982,-1593211.3043898535
34601,1724854.5992771394,-1643101.6143556908
34691,1693885.6041348884,-1694376.3942496409
34981,1941021.1131225761,-1731132.6814025214
32008,1649237.3874629692,-1510157.8755025815
32011,1736768.1038166033,-1416525.249008812
32034,1768369.9611879473,-1403573.074538645
32038,1667971.7473650419,-1502675.6705642114
32110,1804530.9647522226,-1529348.204648654
32128,1838801.0889674907,-1561066.7892652967
32174,1826362.9870419963,-1542115.9551254942
32208,1755082.368111249,-1432556.5298189623
32310,1488256.580335817,-1485178.0040299695
32336,1551620.4177398419,-1488669.220523813
32423,1426734.9995261468,-1434831.2558805249
32443,1422738.7698791954,-1444425.1874648537
32460,1440055.4921206185,-1451520.4841450187
32539,1296367.386494259,-1475030.2636591522
32619,1655428.1299874582,-1525499.7585201755
32701,1819342.634866905,-1614395.8072735013
32714,1815335.4399151255,-1615578.8722999864
32754,1861855.236316631,-1602632.9399621403
32776,1805165.1247874561,-1601052.100344664
32814,1825301.7235780074,-1623854.510642768
32905,1905960.2764246224,-1666828.018980008
33020,1990205.4247502103,-1875407.9255059257
33031,1965416.0989632295,-1936699.5081442953
33050,1932731.4427317611,-2031387.1282741046
33145,1987458.785895617,-1906114.0459748516
33165,1975605.876431771,-1910959.5732727356
33170,1969746.1544573344,-1932192.1268544318
