Zip Code,Airport Code
10001,JFK
10002,JFK
10003,JFK
10004,JFK
10005,JFK
10006,JFK
10007,JFK
10008,JFK
10009,JFK
10010,JFK
10011,JFK
10012,JFK
10013,JFK
10014,JFK
10016,JFK
10017,JFK
10018,JFK
10019,JFK
10020,JFK
10021,JFK
10022,JFK
10023,JFK
10024,JFK
10025,JFK
10026,JFK
10027,JFK
10028,JFK
10029,JFK
10030,JFK
10031,JFK
10032,JFK
10033,JFK
10034,JFK
10035,JFK
10036,JFK
10037,JFK
10038,JFK
10039,JFK
10040,JFK
10041,JFK
10043,EWR
10044,JFK
10045,JFK
10055,JFK
10060,EWR
10065,JFK
10069,JFK
10075,JFK
10080,JFK
10081,EWR
10087,EWR
10090,EWR
10095,EWR
10101,EWR
10102,EWR
10103,JFK
10104,JFK
10105,JFK
10106,JFK
10107,JFK
10108,EWR
10109,EWR
10110,JFK
10111,JFK
10112,JFK
10113,EWR
10114,EWR
10115,JFK
10116,JFK
10117,EWR
10118,JFK
10119,JFK
10120,JFK
10121,JFK
10122,JFK
10123,JFK
10124,EWR
10125,EWR
10126,EWR
10128,JFK
10129,EWR
10130,EWR
10131,EWR
10132,EWR
10133,EWR
10138,EWR
10150,EWR
10151,JFK
10152,JFK
10153,JFK
10154,JFK
10155,JFK
10156,EWR
10157,EWR
10158,JFK
10159,EWR
10160,EWR
10162,EWR
10163,EWR
10164,EWR
10165,JFK
10166,JFK
10167,JFK
10168,JFK
10169,JFK
10170,JFK
10171,JFK
10172,JFK
10173,JFK
10174,JFK
10175,JFK
10176,JFK
10177,JFK
10178,JFK
10179,JFK
10185,EWR
10199,JFK
10203,EWR
10211,EWR
10212,EWR
10213,EWR
10242,EWR
10249,EWR
10256,EWR
10258,EWR
10259,EWR
10260,EWR
10261,EWR
10265,EWR
10268,EWR
10269,EWR
10270,EWR
10271,JFK
10272,EWR
10273,EWR
10274,EWR
10275,EWR
10276,EWR
10277,EWR
10278,JFK
10279,JFK
10280,JFK
10281,JFK
10282,JFK
10285,JFK
10286,JFK
10301,EWR
10302,EWR
10303,EWR
10304,EWR
10305,EWR
10306,EWR
10307,EWR
10308,EWR
10309,EWR
10310,EWR
10311,EWR
10312,EWR
10313,EWR
10314,EWR
10451,JFK
10452,JFK
10453,JFK
10454,JFK
10455,JFK
10456,JFK
10457,JFK
10458,JFK
10459,JFK
10460,JFK
10461,JFK
10462,JFK
10463,JFK
10464,JFK
10465,JFK
10466,JFK
10467,JFK
10468,JFK
10469,JFK
10470,JFK
10471,JFK
10472,JFK
10473,JFK
10474,JFK
10475,JFK
10501,SWF
10502,JFK
10503,JFK
10504,SWF
10505,SWF
10506,SWF
10507,SWF
10509,SWF
10510,SWF
10511,SWF
10512,SWF
10514,SWF
10516,SWF
10517,SWF
10518,SWF
10519,SWF
10520,SWF
10521,EWR
10522,JFK
10523,SWF
10524,SWF
10526,SWF
10527,SWF
10528,JFK
10530,JFK
10532,SWF
10533,JFK
10535,SWF
10536,SWF
10537,SWF
10538,JFK
10540,SWF
10541,SWF
10542,SWF
10543,JFK
10545,SWF
10546,SWF
10547,SWF
10548,SWF
10549,SWF
10550,JFK
10551,JFK
10552,JFK
10553,JFK
10560,SWF
10562,SWF
10566,SWF
10567,SWF
10570,SWF
10573,JFK
10576,SWF
10577,JFK
10578,SWF
10579,SWF
10580,JFK
10583,JFK
10587,SWF
10588,SWF
10589,SWF
10590,SWF
10591,SWF
10594,SWF
10595,SWF
10596,SWF
10597,SWF
10598,SWF
10601,JFK
10602,EWR
10603,JFK
10604,JFK
10605,JFK
10606,JFK
10607,JFK
10610,JFK
10701,JFK
10702,JFK
10703,JFK
10704,JFK
10705,JFK
10706,JFK
10707,JFK
10708,JFK
10709,JFK
10710,JFK
10801,JFK
10802,JFK
10803,JFK
10804,JFK
10805,JFK
10901,SWF
10910,EWR
10911,SWF
10913,SWF
10914,SWF
10915,SWF
10916,SWF
10917,SWF
10918,SWF
10919,SWF
10920,SWF
10921,SWF
10922,SWF
10923,SWF
10924,SWF
10925,SWF
10926,SWF
10927,SWF
10928,SWF
10930,SWF
10931,SWF
10933,SWF
10940,SWF
10941,SWF
10950,SWF
10952,SWF
10953,SWF
10954,SWF
10956,SWF
10958,SWF
10960,SWF
10962,SWF
10963,SWF
10964,SWF
10965,SWF
10968,SWF
10969,SWF
10970,SWF
10973,SWF
10974,SWF
10975,SWF
10976,SWF
10977,SWF
10979,SWF
10980,SWF
10981,SWF
10982,SWF
10983,SWF
10984,SWF
10985,SWF
10986,SWF
10987,SWF
10988,SWF
10989,SWF
10990,SWF
10992,SWF
10993,SWF
10994,SWF
10996,SWF
10998,SWF
11001,JFK
11002,EWR
11003,JFK
11004,JFK
11005,JFK
11010,JFK
11020,JFK
11021,JFK
11022,EWR
11023,JFK
11024,JFK
11026,EWR
11027,EWR
11030,JFK
11040,JFK
11042,JFK
11050,JFK
11051,EWR
11052,EWR
11053,EWR
11054,EWR
11055,EWR
11096,JFK
11101,JFK
11102,JFK
11103,JFK
11104,JFK
11105,JFK
11106,JFK
11109,JFK
11111,GEG
11120,EWR
11201,JFK
11202,JFK
11203,JFK
11204,JFK
11205,JFK
11206,JFK
11207,JFK
11208,JFK
11209,JFK
11210,JFK
11211,JFK
11212,JFK
11213,JFK
11214,JFK
11215,JFK
11216,JFK
11217,JFK
11218,JFK
11219,JFK
11220,JFK
11221,JFK
11222,JFK
11223,JFK
11224,JFK
11225,JFK
11226,JFK
11228,JFK
11229,JFK
11230,JFK
11231,JFK
11232,JFK
11233,JFK
11234,JFK
11235,JFK
11236,JFK
11237,JFK
11238,JFK
11239,JFK
11241,JFK
11242,JFK
11243,JFK
11245,JFK
11247,EWR
11249,JFK
11251,JFK
11252,JFK
11256,JFK
11276,NO
11351,JFK
11352,EWR
11354,JFK
11355,JFK
11356,JFK
11357,JFK
11358,JFK
11359,JFK
11360,JFK
11361,JFK
11362,JFK
11363,JFK
11364,JFK
11365,JFK
11366,JFK
11367,JFK
11368,JFK
11369,JFK
11370,JFK
11371,JFK
11372,JFK
11373,JFK
11374,JFK
11375,JFK
11377,JFK
11378,JFK
11379,JFK
11380,EWR
11381,EWR
11385,JFK
11386,JFK
11405,JFK
11411,JFK
11412,JFK
11413,JFK
11414,JFK
11415,JFK
11416,JFK
11417,JFK
11418,JFK
11419,JFK
11420,JFK
11421,JFK
11422,JFK
11423,JFK
11424,JFK
11425,JFK
11426,JFK
11427,JFK
11428,JFK
11429,JFK
11430,JFK
11431,JFK
11432,JFK
11433,JFK
11434,JFK
11435,JFK
11436,JFK
11437,EWR
11439,JFK
11451,JFK
11499,EWR
11501,JFK
11507,JFK
11509,JFK
11510,JFK
11514,JFK
11516,JFK
11518,JFK
11520,JFK
11530,JFK
11531,EWR
11542,JFK
11545,JFK
11547,JFK
11548,JFK
11549,JFK
11550,JFK
11551,EWR
11552,JFK
11553,JFK
11554,JFK
11555,EWR
11556,JFK
11557,JFK
11558,JFK
11559,JFK
11560,JFK
11561,JFK
11563,JFK
11565,JFK
11566,JFK
11568,JFK
11569,JFK
11570,JFK
11571,JFK
11572,JFK
11575,JFK
11576,JFK
11577,JFK
11579,JFK
11580,JFK
11581,JFK
11582,JFK
11590,JFK
11596,JFK
11598,JFK
11599,JFK
11690,EWR
11691,JFK
11692,JFK
11693,JFK
11694,JFK
11695,EWR
11697,JFK
11701,JFK
11702,JFK
11703,JFK
11704,JFK
11705,JFK
11706,JFK
11707,EWR
11708,EWR
11709,JFK
11710,JFK
11713,JFK
11714,JFK
11715,JFK
11716,JFK
11717,JFK
11718,JFK
11719,JFK
11720,JFK
11721,JFK
11722,JFK
11724,JFK
11725,JFK
11726,JFK
11727,JFK
11729,JFK
11730,JFK
11731,JFK
11732,JFK
11733,JFK
11735,JFK
11736,EWR
11737,EWR
11738,JFK
11739,JFK
11740,JFK
11741,JFK
11742,JFK
11743,JFK
11746,JFK
11747,JFK
11749,JFK
11751,JFK
11752,JFK
11753,JFK
11754,JFK
11755,JFK
11756,JFK
11757,JFK
11758,JFK
11760,EWR
11762,JFK
11763,JFK
11764,JFK
11765,JFK
11766,JFK
11767,JFK
11768,JFK
11769,JFK
11770,EWR
11771,JFK
11772,JFK
11773,EWR
11775,EWR
11776,JFK
11777,JFK
11778,JFK
11779,JFK
11780,JFK
11782,JFK
11783,JFK
11784,JFK
11786,JFK
11787,JFK
11788,JFK
11789,JFK
11790,JFK
11791,JFK
11792,JFK
11793,JFK
11794,JFK
11795,JFK
11796,JFK
11797,JFK
11798,JFK
11801,JFK
11802,JFK
11803,JFK
11804,JFK
11815,EWR
11852,EWR
11853,EWR
11901,JFK
11930,JFK
11931,JFK
11932,JFK
11933,JFK
11934,JFK
11935,JFK
11937,JFK
11939,JFK
11940,JFK
11941,JFK
11942,JFK
11944,JFK
11946,JFK
11947,JFK
11948,JFK
11949,JFK
11950,JFK
11951,JFK
11952,JFK
11953,JFK
11954,JFK
11955,JFK
11956,JFK
11957,JFK
11958,JFK
11959,JFK
11960,JFK
11961,JFK
11962,JFK
11963,JFK
11964,JFK
11965,JFK
11967,JFK
11968,JFK
11969,JFK
11970,EWR
11971,JFK
11972,JFK
11973,JFK
11974,NO
11975,JFK
11976,JFK
11977,JFK
11978,JFK
11980,JFK
12007,ALB
12008,ALB
12009,ALB
12010,ALB
12015,ALB
12017,ALB
12018,ALB
12019,ALB
12020,ALB
12022,ALB
12023,ALB
12025,ALB
12027,ALB
12028,ALB
12029,ALB
12032,ALB
12033,ALB
12035,ALB
12036,ALB
12037,ALB
12041,ALB
12042,ALB
12043,ALB
12045,ALB
12046,ALB
12047,ALB
12050,ALB
12051,ALB
12052,ALB
12053,ALB
12054,ALB
12056,ALB
12057,ALB
12058,ALB
12059,ALB
12060,ALB
12061,ALB
12062,ALB
12063,ALB
12064,ALB
12065,ALB
12066,ALB
12067,ALB
12068,ALB
12070,ALB
12071,ALB
12072,ALB
12074,ALB
12075,ALB
12076,ALB
12077,ALB
12078,ALB
12082,ALB
12083,ALB
12084,ALB
12085,ALB
12086,ALB
12087,ALB
12089,ALB
12090,ALB
12092,ALB
12093,ALB
12094,ALB
12095,ALB
12106,ALB
12108,ALB
12110,ALB
12115,ALB
12116,ALB
12117,ALB
12118,ALB
12120,ALB
12121,ALB
